epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.1,0.92492,3.57068,1.26207,0.21799,0.46346,0.2666,0.19846,0.91524,2.7257,1.26001,0.000138748,0.000138748,0.000138748
2,448.146,0.88798,2.65232,1.21941,0.3288,0.40749,0.31005,0.22579,0.91692,2.25433,1.26706,0.000274998,0.000274998,0.000274998
3,656.326,0.87623,2.35892,1.20079,0.33327,0.49457,0.3876,0.29727,0.86709,2.02844,1.20116,0.000408496,0.000408496,0.000408496
4,861.498,0.85223,2.0966,1.17896,0.39386,0.56795,0.49171,0.38121,0.85431,1.74213,1.20258,0.000404615,0.000404615,0.000404615
5,1065.71,0.84181,1.87496,1.17442,0.55108,0.57241,0.55804,0.45217,0.84577,1.51511,1.18675,0.000400487,0.000400487,0.000400487
6,1251.91,0.8211,1.72574,1.16468,0.64421,0.5906,0.63157,0.50646,0.85285,1.38623,1.19659,0.000396358,0.000396358,0.000396358
7,1459.37,0.80751,1.5677,1.14818,0.6339,0.67376,0.68367,0.55047,0.84078,1.25395,1.18754,0.00039223,0.00039223,0.00039223
8,1665.58,0.78663,1.47507,1.13408,0.67088,0.68275,0.71163,0.57653,0.81407,1.14997,1.16463,0.000388102,0.000388102,0.000388102
9,1869.97,0.79122,1.38841,1.13517,0.66535,0.66694,0.7195,0.58241,0.8324,1.14835,1.16452,0.000383974,0.000383974,0.000383974
10,2075.34,0.7637,1.30796,1.11785,0.77114,0.67805,0.73287,0.59982,0.82796,1.07552,1.16048,0.000379845,0.000379845,0.000379845
11,2276.75,0.7618,1.25965,1.11407,0.81469,0.70991,0.78266,0.63678,0.80155,0.94906,1.1536,0.000375717,0.000375717,0.000375717
12,2483.79,0.75217,1.20143,1.10043,0.82696,0.71224,0.78312,0.64311,0.79955,0.92041,1.13213,0.000371589,0.000371589,0.000371589
13,2682.52,0.75765,1.18316,1.11224,0.75559,0.70422,0.77199,0.63133,0.80491,0.9374,1.14676,0.00036746,0.00036746,0.00036746
14,2886.27,0.73454,1.14102,1.09817,0.7931,0.71347,0.78191,0.64507,0.79192,0.90161,1.14341,0.000363332,0.000363332,0.000363332
15,3090.96,0.71785,1.08245,1.09053,0.85247,0.703,0.79828,0.66438,0.77077,0.87137,1.12047,0.000359204,0.000359204,0.000359204
16,3292.36,0.72423,1.06851,1.09041,0.8122,0.73421,0.79919,0.65181,0.80112,0.84804,1.1289,0.000355076,0.000355076,0.000355076
17,3491.13,0.71267,1.04408,1.08504,0.82434,0.73905,0.80072,0.66487,0.78212,0.86889,1.13285,0.000350947,0.000350947,0.000350947
18,3677.38,0.71123,1.01336,1.0804,0.79547,0.72234,0.7959,0.64818,0.78977,0.86663,1.12909,0.000346819,0.000346819,0.000346819
19,3880.85,0.7192,1.0046,1.08622,0.84838,0.72446,0.80007,0.65928,0.78326,0.85837,1.13169,0.000342691,0.000342691,0.000342691
20,4082.16,0.70015,0.9768,1.07257,0.8049,0.72459,0.80194,0.66455,0.76135,0.84596,1.11852,0.000338562,0.000338562,0.000338562
21,4285.21,0.69837,0.95133,1.07787,0.83468,0.73927,0.8173,0.67388,0.77794,0.83696,1.13287,0.000334434,0.000334434,0.000334434
22,4480.97,0.69546,0.92905,1.06624,0.84386,0.73446,0.81064,0.67738,0.7525,0.81699,1.10511,0.000330306,0.000330306,0.000330306
23,4684.39,0.69309,0.92975,1.0655,0.79573,0.74977,0.8015,0.66747,0.76909,0.83266,1.12577,0.000326177,0.000326177,0.000326177
24,4886.57,0.69041,0.9142,1.06878,0.82584,0.74676,0.80364,0.66944,0.75995,0.81741,1.10792,0.000322049,0.000322049,0.000322049
25,5075.13,0.6825,0.89055,1.06339,0.8417,0.74679,0.81865,0.68159,0.74447,0.78579,1.10201,0.000317921,0.000317921,0.000317921
26,5278.39,0.68167,0.88421,1.05999,0.85994,0.73913,0.82434,0.6851,0.74711,0.75453,1.09991,0.000313792,0.000313792,0.000313792
27,5463.17,0.68081,0.85397,1.06528,0.82946,0.75057,0.81097,0.67367,0.76233,0.78056,1.1117,0.000309664,0.000309664,0.000309664
28,5669.05,0.67577,0.84722,1.06441,0.79032,0.77963,0.81431,0.6766,0.77229,0.77905,1.12903,0.000305536,0.000305536,0.000305536
29,5868.76,0.66825,0.8416,1.05622,0.85507,0.7681,0.83432,0.68771,0.74489,0.76013,1.10075,0.000301408,0.000301408,0.000301408
30,6066.92,0.66301,0.83209,1.05157,0.82402,0.78701,0.83623,0.68999,0.74911,0.76195,1.10001,0.000297279,0.000297279,0.000297279
31,6258.73,0.6597,0.82921,1.05304,0.86939,0.75149,0.83342,0.69124,0.7521,0.76849,1.11185,0.000293151,0.000293151,0.000293151
32,6425.6,0.66054,0.8249,1.05435,0.83008,0.77804,0.83318,0.68806,0.7483,0.74783,1.10543,0.000289023,0.000289023,0.000289023
33,6592.29,0.65204,0.80225,1.04493,0.86863,0.74995,0.83268,0.68798,0.75604,0.75166,1.116,0.000284894,0.000284894,0.000284894
34,6748.93,0.65715,0.78805,1.04615,0.84581,0.76961,0.8352,0.69773,0.7357,0.72524,1.09508,0.000280766,0.000280766,0.000280766
35,6900.03,0.65359,0.79084,1.04398,0.83815,0.79091,0.83042,0.69351,0.74515,0.74538,1.10368,0.000276638,0.000276638,0.000276638
36,7060.86,0.64167,0.78345,1.03721,0.84165,0.77074,0.82317,0.68458,0.7523,0.74113,1.11806,0.000272509,0.000272509,0.000272509
37,7236.09,0.6422,0.77835,1.04235,0.83744,0.79541,0.84359,0.69896,0.73461,0.71747,1.09845,0.000268381,0.000268381,0.000268381
38,7419.58,0.63754,0.75651,1.03888,0.8443,0.77697,0.83607,0.68771,0.75275,0.74602,1.10754,0.000264253,0.000264253,0.000264253
39,7598.2,0.62742,0.7414,1.02694,0.8278,0.77932,0.82867,0.682,0.75888,0.73828,1.11997,0.000260125,0.000260125,0.000260125
40,7800.85,0.63302,0.7533,1.03286,0.84513,0.78466,0.84154,0.69637,0.74966,0.73355,1.10824,0.000255996,0.000255996,0.000255996
41,8001.83,0.64234,0.7519,1.03721,0.82387,0.77548,0.83611,0.6978,0.74775,0.70889,1.10462,0.000251868,0.000251868,0.000251868
42,8204.96,0.62447,0.73088,1.03243,0.83644,0.80202,0.846,0.70444,0.74422,0.69158,1.10867,0.00024774,0.00024774,0.00024774
43,8409.45,0.62748,0.71797,1.0316,0.84489,0.79362,0.84524,0.70473,0.73658,0.72223,1.10618,0.000243611,0.000243611,0.000243611
44,8612.13,0.61812,0.70588,1.01855,0.8604,0.78607,0.85026,0.70325,0.74838,0.69171,1.10868,0.000239483,0.000239483,0.000239483
45,8814.75,0.62373,0.71788,1.02259,0.84814,0.79746,0.84843,0.70371,0.73091,0.70519,1.09372,0.000235355,0.000235355,0.000235355
46,9020.8,0.61435,0.69675,1.02252,0.85342,0.79779,0.84733,0.70312,0.73596,0.6883,1.09796,0.000231226,0.000231226,0.000231226
47,9229.59,0.61997,0.68022,1.01886,0.87404,0.77281,0.83834,0.6992,0.73208,0.71454,1.10096,0.000227098,0.000227098,0.000227098
48,9433.37,0.6051,0.68849,1.01525,0.8435,0.80179,0.84458,0.69816,0.74754,0.70183,1.10606,0.00022297,0.00022297,0.00022297
49,9631.89,0.61197,0.68551,1.01716,0.84475,0.80581,0.84481,0.70436,0.73291,0.6946,1.09236,0.000218842,0.000218842,0.000218842
50,9827.7,0.6004,0.66576,1.01421,0.87852,0.76758,0.8465,0.70907,0.71988,0.70004,1.09338,0.000214713,0.000214713,0.000214713
51,10029,0.59729,0.66181,1.01771,0.86644,0.77873,0.84287,0.70453,0.72673,0.69421,1.09799,0.000210585,0.000210585,0.000210585
52,10230.3,0.59413,0.65665,1.00854,0.86204,0.79029,0.84424,0.70107,0.73871,0.6872,1.10351,0.000206457,0.000206457,0.000206457
53,10434.6,0.59541,0.66312,1.01356,0.87432,0.77754,0.84606,0.7039,0.73058,0.679,1.09401,0.000202328,0.000202328,0.000202328
54,10636.9,0.5966,0.64161,1.00847,0.86151,0.78309,0.85095,0.70562,0.73464,0.6999,1.10256,0.0001982,0.0001982,0.0001982
55,10839.4,0.58684,0.64911,1.0083,0.85073,0.79768,0.8506,0.7085,0.7311,0.70158,1.09702,0.000194072,0.000194072,0.000194072
56,11046.8,0.58353,0.62952,1.0053,0.84804,0.79582,0.84757,0.70595,0.73394,0.69138,1.10311,0.000189943,0.000189943,0.000189943
57,11250.7,0.58226,0.63507,0.99935,0.83944,0.82496,0.85548,0.70663,0.74241,0.68218,1.11135,0.000185815,0.000185815,0.000185815
58,11452.7,0.59365,0.63417,1.00535,0.86102,0.79752,0.85499,0.71331,0.73036,0.69917,1.10499,0.000181687,0.000181687,0.000181687
59,11635.6,0.58825,0.639,1.0087,0.8407,0.80863,0.85041,0.70778,0.73828,0.6827,1.10935,0.000177559,0.000177559,0.000177559
60,11838.2,0.56849,0.61761,1.00124,0.87933,0.78749,0.8525,0.70882,0.74033,0.66369,1.10633,0.00017343,0.00017343,0.00017343
61,12022.8,0.57519,0.6147,0.99725,0.84903,0.80441,0.85496,0.71364,0.73125,0.66571,1.10462,0.000169302,0.000169302,0.000169302
62,12068.8,0.5759,0.60253,1.00013,0.85551,0.81666,0.85296,0.714,0.72022,0.66609,1.09251,0.000165174,0.000165174,0.000165174
63,12117.9,0.56924,0.60429,0.99453,0.87366,0.80395,0.85249,0.71114,0.7374,0.69971,1.10439,0.000161045,0.000161045,0.000161045
64,12168.1,0.57047,0.60806,0.99591,0.87434,0.80776,0.85685,0.71323,0.72768,0.68375,1.09932,0.000156917,0.000156917,0.000156917
65,12217.8,0.56832,0.59028,0.99314,0.87487,0.81682,0.85586,0.71255,0.72899,0.6697,1.1027,0.000152789,0.000152789,0.000152789
66,12267.7,0.56071,0.59486,0.99248,0.88206,0.79277,0.84821,0.71043,0.72742,0.69288,1.10403,0.00014866,0.00014866,0.00014866
67,12315.9,0.57238,0.58349,0.99471,0.8635,0.80294,0.84915,0.70946,0.73174,0.69664,1.10366,0.000144532,0.000144532,0.000144532
68,12365.6,0.55628,0.58184,0.98882,0.87079,0.79699,0.84872,0.71006,0.72763,0.69433,1.09793,0.000140404,0.000140404,0.000140404
69,12415.4,0.55593,0.58268,0.98885,0.86954,0.79893,0.84661,0.71197,0.72852,0.68688,1.10903,0.000136276,0.000136276,0.000136276
70,12465,0.5592,0.57963,0.9917,0.86546,0.81004,0.8531,0.71202,0.72381,0.6784,1.10805,0.000132147,0.000132147,0.000132147
71,12514.4,0.56091,0.57424,0.9878,0.8652,0.80311,0.85591,0.71544,0.72572,0.68083,1.10061,0.000128019,0.000128019,0.000128019
72,12564.6,0.55196,0.56914,0.98354,0.86668,0.79974,0.85287,0.71613,0.72367,0.69374,1.09795,0.000123891,0.000123891,0.000123891
73,12614.1,0.55584,0.56633,0.98728,0.8772,0.80052,0.8529,0.713,0.72614,0.67436,1.10381,0.000119762,0.000119762,0.000119762
74,12664,0.54994,0.56948,0.98944,0.87421,0.79849,0.85679,0.71483,0.72888,0.6819,1.10561,0.000115634,0.000115634,0.000115634
75,12714.6,0.55834,0.55808,0.98788,0.86564,0.8281,0.86303,0.72355,0.7201,0.66483,1.09723,0.000111506,0.000111506,0.000111506
